Outlines of the full ICESat-based drainage
systems generated by the Ice Altimetry
group at Goddard Space Flight Center, based
on ICESat campaigns L2a-c, L3a-c
(2003 Feb - 2005 May).
Each record: drainage subsystem, lat (deg N), lon (deg E)
END OF HEADER
6.1 -412486.99213 -2970068.67356
6.1 -412408.881565 -2970046.85965
6.1 -412360.637029 -2970021.70816
6.1 -412297.453235 -2969998.1667
6.1 -412232.70703 -2969959.55302
6.1 -412187.747578 -2969964.51909
6.1 -412141.157406 -2969954.30709
6.1 -412063.053195 -2969932.4843
6.1 -411969.839442 -2969912.17655
6.1 -411906.661774 -2969888.62699
6.1 -411843.53704 -2969865.06894
6.1 -411720.464819 -2969848.08387
6.1 -411628.905696 -2969842.70865
6.1 -411549.093804 -2969805.82306
6.1 -411456.008621 -2969785.59872
6.1 -411332.891914 -2969768.60495
6.1 -411268.112854 -2969729.97813
6.1 -411208.218625 -2969736.5349
6.1 -411131.620092 -2969729.65283
6.1 -411070.100461 -2969721.02912
6.1 -410993.55492 -2969714.13633
6.1 -410946.99051 -2969704.01952
6.1 -410885.488123 -2969695.50565
6.1 -410840.533197 -2969700.45135
6.1 -410779.015748 -2969691.82165
6.1 -410702.420739 -2969684.92858
6.1 -410639.276291 -2969661.46623
6.1 -410546.137471 -2969641.10726
6.1 -410456.317434 -2969650.85975
6.1 -410349.797327 -2969647.16761
6.1 -410258.26783 -2969641.86406
6.1 -410166.754719 -2969636.67134
6.1 -410075.226597 -2969631.36217
6.1 -410028.720139 -2969621.22394
6.1 -409967.172594 -2969612.69836
6.1 -409952.234767 -2969614.29733
6.1 -409907.265762 -2969619.11528
6.1 -409875.662023 -2969607.49671
6.1 -409860.708552 -2969608.98159
6.1 -409814.167419 -2969598.96083
6.1 -409782.600499 -2969587.22051
6.1 -409737.580148 -2969592.04304
6.1 -409676.086605 -2969583.50431
6.1 -409631.133863 -2969588.43172
6.1 -409567.934904 -2969564.84041
6.1 -409489.815315 -2969542.9581
6.1 -409444.795762 -2969547.77619
6.1 -409383.320358 -2969539.34511
6.1 -409320.12491 -2969515.74864
6.1 -409243.542467 -2969508.81821
6.1 -409153.727529 -2969518.53133
6.1 -409107.175808 -2969508.38597
6.1 -409045.651189 -2969499.9551
6.1 -408998.981008 -2969489.7087
6.1 -408954.133611 -2969494.61159
6.1 -408905.88045 -2969469.41248
6.1 -408857.643776 -2969444.32626
6.1 -408796.157945 -2969435.76951
6.1 -408719.596065 -2969428.93932
6.1 -408688.072629 -2969417.06679
6.1 -408639.906375 -2969392.08366
6.1 -408593.343585 -2969381.81673
6.1 -408516.768527 -2969374.86773
6.1 -408471.783208 -2969379.89838
6.1 -408426.922044 -2969384.67967
6.1 -408378.691457 -2969359.58587
6.1 -408347.066807 -2969347.72406
6.1 -408317.158082 -2969351.02643
6.1 -408300.53749 -2969337.67989
6.1 -408253.992941 -2969327.52135
6.1 -408175.841053 -2969305.61215
6.1 -408129.297632 -2969295.4517
6.1 -408081.055702 -2969270.23958
6.1 -408049.449066 -2969258.48833
6.1 -407971.300974 -2969236.57388
6.1 -407908.141573 -2969213.06166
6.1 -407828.313942 -2969176.20621
6.1 -407735.219322 -2969155.76028
6.1 -407702.037681 -2969129.05383
6.1 -407623.808284 -2969107.25834
6.1 -407532.362322 -2969101.86433
6.1 -407482.464304 -2969061.81907
6.1 -407404.311264 -2969039.77641
6.1 -407356.19953 -2969014.6524
6.1 -407276.385006 -2968977.78265
6.1 -407214.880676 -2968969.31438
6.1 -407166.652626 -2968944.088
6.1 -407118.425416 -2968918.86087
6.1 -407055.22901 -2968895.33818
6.1 -407007.08659 -2968870.32952
6.1 -406928.958699 -2968848.38833
6.1 -406864.07239 -2968809.81049
6.1 -406785.947442 -2968787.86565
6.1 -406706.146958 -2968750.98116
6.1 -406627.988824 -2968729.15301
6.1 -406531.604031 -2968678.67416
6.1 -406421.857017 -2968645.07352
6.1 -406327.081372 -2968609.76748
6.1 -406220.600975 -2968606.16283
6.1 -406124.243495 -2968555.78487
6.1 -406031.060642 -2968535.53522
6.1 -405967.882727 -2968511.99008
6.1 -405889.738036 -2968490.14294
6.1 -405843.166744 -2968479.9545
6.1 -405798.232175 -2968484.82397
6.1 -405779.991828 -2968456.40546
6.1 -405750.07716 -2968459.56837
6.1 -405720.074385 -2968462.85878
6.1 -405688.451316 -2968451.20387
6.1 -405673.519929 -2968452.78136
6.1 -405641.933474 -2968441.00523
6.1 -405597.051382 -2968445.86458
6.1 -405550.378681 -2968435.68575
6.1 -405503.825521 -2968425.6057
6.1 -405487.326793 -2968412.2301
6.1 -405457.309039 -2968415.40421
6.1 -405440.655165 -2968402.04958
6.1 -405394.103073 -2968391.96784
6.1 -405377.501429 -2968378.60581
6.1 -405330.91897 -2968368.29579
6.1 -405301.020837 -2968371.56783
6.1 -405256.05183 -2968376.54983
6.1 -405241.053557 -2968378.01856
6.1 -405207.903894 -2968351.28566
6.1 -405191.251564 -2968337.9297
6.1 -405161.250157 -2968341.21447
6.1 -405114.684916 -2968331.01477
6.1 -405084.787214 -2968334.28463
6.1 -405053.204939 -2968322.50236
6.1 -405036.553518 -2968309.14556
6.1 -404991.570043 -2968314.00991
6.1 -404913.440349 -2968292.13751
6.1 -404866.877144 -2968281.93397
6.1 -404820.329836 -2968271.84336
6.1 -404788.749525 -2968260.05835
6.1 -404695.641268 -2968239.76036
6.1 -404619.079808 -2968232.83276
6.1 -404555.885978 -2968209.37893
6.1 -404479.429657 -2968202.43364
6.1 -404416.222363 -2968178.86325
6.1 -404354.645552 -2968170.35066
6.1 -404278.154992 -2968163.52095
6.1 -404183.374611 -2968128.15505
6.1 -404136.833156 -2968118.05389
6.1 -404075.207252 -2968109.54263
6.1 -404012.161325 -2968085.94266
6.1 -403935.571134 -2968079.11831
6.1 -403874.050696 -2968070.58882
6.1 -403812.478958 -2968062.06512
6.1 -403734.315879 -2968040.16927
6.1 -403671.119402 -2968016.58336
6.1 -403596.246682 -2968024.68192
6.1 -403536.302776 -2968031.21191
6.1 -403474.785458 -2968022.67421
6.1 -403426.572606 -2967997.50967
6.1 -403381.69809 -2968002.33556
6.1 -403305.113474 -2967995.49506
6.1 -403258.578614 -2967985.3803
6.1 -403196.960106 -2967976.85098
6.1 -403150.410651 -2967966.62088
6.1 -403088.912139 -2967958.18893
6.1 -403042.363534 -2967947.95716
6.1 -402965.782146 -2967941.10797
6.1 -402905.89205 -2967947.61821
6.1 -402841.099349 -2967909.06892
6.1 -402794.55278 -2967898.83332
6.1 -402746.312256 -2967873.77871
6.1 -402669.786136 -2967866.91493
6.1 -402608.276755 -2967858.35947
6.1 -402530.131231 -2967836.4324
6.1 -402498.530569 -2967824.7442
6.1 -402408.699255 -2967834.49498
6.1 -402330.556407 -2967812.56272
6.1 -402237.331938 -2967792.20974
6.1 -402205.717806 -2967780.40481
6.1 -402112.614595 -2967760.1476
6.1 -402036.043 -2967753.27464
6.1 -401944.648291 -2967747.94444
6.1 -401881.439583 -2967724.4418
6.1 -401821.502605 -2967730.9372
6.1 -401728.301327 -2967710.68209
6.1 -401650.168605 -2967688.7322
6.1 -401588.668273 -2967680.15582
6.1 -401527.132029 -2967671.69885
6.1 -401480.507719 -2967661.57061
6.1 -401432.387528 -2967636.48115
6.1 -401355.822764 -2967629.59079
6.1 -401310.85104 -2967634.39941
6.1 -401264.280217 -2967624.26081
6.1 -401231.125637 -2967597.49217
6.1 -401184.555768 -2967587.35234
6.1 -401138.038088 -2967577.2048
6.1 -401089.803614 -2967552.01029
6.1 -401013.242831 -2967545.11118
6.1 -400951.696983 -2967536.52876
6.1 -400890.115203 -2967528.06574
6.1 -400796.981498 -2967507.77482
6.1 -400718.878775 -2967485.91451
6.1 -400627.344119 -2967480.56505
6.1 -400564.154138 -2967457.03493
6.1 -400500.980596 -2967433.61718
6.1 -400422.815618 -2967411.64255
6.1 -400359.629054 -2967388.1082
6.1 -400281.466648 -2967366.12994
6.1 -400203.33625 -2967344.377
6.1 -400125.176531 -2967322.3947
6.1 -400060.437848 -2967283.78664
6.1 -399982.31172 -2967262.02802
6.1 -399919.117219 -2967238.37089
6.1 -399855.939139 -2967214.82613
6.1 -399732.800503 -2967197.85398
6.1 -399638.030189 -2967162.47368
6.1 -399559.896062 -2967140.59051
6.1 -399481.711491 -2967118.71229
6.1 -399433.515658 -2967093.60541
6.1 -399372.002529 -2967085.10435
6.1 -399325.434647 -2967074.82218
6.1 -399277.189236 -2967049.71981
6.1 -399230.652962 -2967039.66354
6.1 -399167.485769 -2967016.1045
6.1 -399090.897051 -2967009.16332
6.1 -399042.810298 -2966984.03637
6.1 -398979.594319 -2966960.48039
6.1 -398916.431222 -2966936.91615
6.1 -398868.191898 -2966911.80737
6.1 -398790.020037 -2966889.91135
6.1 -398743.473364 -2966879.73391
6.1 -398695.288381 -2966854.61546
6.1 -398647.156016 -2966829.48932
6.1 -398615.517868 -2966817.65405
6.1 -398583.947048 -2966805.92518
6.1 -398535.712931 -2966780.81122
6.1 -398519.101282 -2966767.41943
6.1 -398472.557813 -2966757.23784
6.1 -398440.921253 -2966745.40078
6.1 -398396.046353 -2966750.38569
6.1 -398347.851442 -2966725.14815
6.1 -398331.18921 -2966711.76231
6.1 -398284.662806 -2966701.6915
6.1 -398268.000996 -2966688.30532
6.1 -398236.417929 -2966676.45919
6.1 -398219.86003 -2966663.05885
6.1 -398173.23136 -2966653.00025
6.1 -398171.631607 -2966637.93922
6.1 -398125.091852 -2966627.7523
6.1 -398093.525353 -2966616.01837
6.1 -398045.29887 -2966590.89677
6.1 -398030.341396 -2966592.55649
6.1 -397998.708689 -2966580.71486
6.1 -397982.100634 -2966567.32022
6.1 -397965.440944 -2966553.93245
6.1 -397918.918745 -2966543.85605
6.1 -397872.381691 -2966533.66525
6.1 -397824.158607 -2966508.54019
6.1 -397746.007304 -2966486.61737
6.1 -397697.837937 -2966461.4834
6.1 -397651.214936 -2966451.41676
6.1 -397619.637306 -2966439.56427
6.1 -397571.454645 -2966414.31465
6.1 -397493.323471 -2966392.49901
6.1 -397445.106214 -2966367.36804
6.1 -397395.293678 -2966327.17513
6.1 -397350.358423 -2966332.03751
6.1 -397332.122373 -2966303.69887
6.1 -397283.892759 -2966278.45173
6.1 -397267.341412 -2966265.04642
6.1 -397220.723521 -2966254.97318
6.1 -397219.128218 -2966239.91197
6.1 -397170.915862 -2966214.77678
6.1 -397167.637371 -2966184.7819
6.1 -397122.652575 -2966189.64777
6.1 -397074.530218 -2966164.38355
6.1 -397041.290686 -2966137.70514
6.1 -396979.757346 -2966129.16228
6.1 -396916.594057 -2966105.6775
6.1 -396868.334877 -2966080.54454
6.1 -396821.810083 -2966070.33766
6.1 -396771.974339 -2966030.25561
6.1 -396723.754238 -2966004.99981
6.1 -396677.194738 -2965994.91133
6.1 -396645.626463 -2965983.04885
6.1 -396628.991301 -2965969.76773
6.1 -396612.444611 -2965956.35901
6.1 -396580.840469 -2965944.61647
6.1 -396564.227166 -2965931.10074
6.1 -396534.319161 -2965934.4052
6.1 -396515.989195 -2965906.07601
6.1 -396467.840393 -2965880.92301
6.1 -396436.289471 -2965869.17208
6.1 -396388.023271 -2965843.918
6.1 -396339.824869 -2965818.76995
6.1 -396291.69426 -2965793.72792
6.1 -396258.398913 -2965766.93456
6.1 -396225.244235 -2965740.00645
6.1 -396206.918074 -2965711.67564
6.1 -396177.01235 -2965714.9765
6.1 -396160.365529 -2965701.57928
6.1 -396158.7751 -2965686.51793
6.1 -396157.096332 -2965671.58409
6.1 -396125.533793 -2965659.71632
6.1 -396109.006177 -2965646.41871
6.1 -396078.982427 -2965649.61873
6.1 -396075.713963 -2965619.62352
6.1 -396059.068069 -2965606.2258
6.1 -396027.470075 -2965594.47764
6.1 -396010.928054 -2965581.06585
6.1 -395979.330544 -2965569.31719
6.1 -395977.689161 -2965554.26275
6.1 -395959.469674 -2965525.91686
6.1 -395942.824777 -2965512.51856
6.1 -395892.994456 -2965472.30932
6.1 -395863.091203 -2965475.60703
6.1 -395844.821391 -2965447.26746
6.1 -395798.259392 -2965437.05195
6.1 -395765.075663 -2965410.23977
6.1 -395718.529792 -2965400.13671
6.1 -395715.249379 -2965370.02779
6.1 -395698.621569 -2965356.74192
6.1 -395665.336035 -2965329.94255
6.1 -395647.157073 -2965301.47449
6.1 -395615.579233 -2965289.83585
6.1 -395597.349162 -2965261.37444
6.1 -395579.134543 -2965233.02664
6.1 -395530.901045 -2965207.87326
6.1 -395527.622226 -2965177.76439
6.1 -395481.080952 -2965167.65778
6.1 -395447.814429 -2965140.96994
6.1 -395399.671882 -2965115.68707
6.1 -395351.441833 -2965090.53095
6.1 -395349.766643 -2965075.59708
6.1 -395348.179792 -2965060.53574
6.1 -395329.968395 -2965032.1867
6.1 -395299.951027 -2965035.37886
6.1 -395298.364395 -2965020.31752
6.1 -395296.689419 -2965005.38367
6.1 -395281.740204 -2965007.02956
6.1 -395280.050145 -2964991.98203
6.1 -395263.529665 -2964978.68019
6.1 -395260.320086 -2964948.67813
6.1 -395228.665482 -2964936.81517
6.1 -395210.388828 -2964908.35878
6.1 -395178.868662 -2964896.70888
6.1 -395159.021746 -2964853.30463
6.1 -395157.33219 -2964838.25713
6.1 -395155.761276 -2964823.30953
6.1 -395125.730905 -2964826.38625
6.1 -395109.211916 -2964813.08367
6.1 -395107.52258 -2964798.03617
6.1 -395105.833243 -2964782.98868
6.1 -395074.366531 -2964771.33086
6.1 -395072.67734 -2964756.28337
6.1 -395057.7294 -2964757.92814
6.1 -395056.040283 -2964742.88065
6.1 -395026.092789 -2964746.17683
6.1 -395022.870083 -2964716.06116
6.1 -395021.768094 -2964706.60482
6.1 -394994.309473 -2964692.214
6.1 -394944.696069 -2964651.84936
6.1 -394910.015987 -2964609.72635
6.1 -394860.404933 -2964569.36047
6.1 -394810.728277 -2964528.88706
6.1 -394761.016302 -2964488.53348
6.1 -394711.393951 -2964448.0517
6.1 -394675.217044 -2964391.08564
6.1 -394607.484008 -2964322.12268
6.1 -394557.829547 -2964281.75925
6.1 -394503.478288 -2964196.20458
6.1 -394435.819676 -2964127.34518
6.1 -394383.056535 -2964056.85007
6.1 -394300.325552 -2963989.41577
6.1 -394247.515677 -2963918.9256
6.1 -394208.202854 -2963831.94681
6.1 -394108.956668 -2963751.08732
6.1 -394054.676377 -2963665.51974
6.1 -393970.396227 -2963583.13026
6.1 -393899.54791 -2963484.14564
6.1 -393828.651856 -2963385.16666
6.1 -393729.392188 -2963304.41689
6.1 -393645.062627 -2963221.91287
6.1 -393545.812788 -2963141.15765
6.1 -393476.498274 -2963057.11919
6.1 -393407.150569 -2962973.19999
6.1 -393277.852307 -2962895.50281
6.1 -393178.60704 -2962814.62303
6.1 -393092.705604 -2962717.27875
6.1 -392990.265116 -2962606.27857
6.1 -392842.852204 -2962500.08349
6.1 -392724.03409 -2962375.74806
6.1 -392576.574419 -2962269.43424
6.1 -392442.670356 -2962146.62812
6.1 -392355.182577 -2962034.21185
6.1 -392254.377452 -2961938.36457
6.1 -392151.953346 -2961827.46038
6.1 -392082.716926 -2961743.5086
6.1 -391981.862056 -2961647.54664
6.1 -391927.580249 -2961562.07635
6.1 -391826.750502 -2961466.22368
6.1 -391742.428897 -2961383.80074
6.1 -391674.679805 -2961314.91561
6.1 -391605.362581 -2961230.96848
6.1 -391522.623256 -2961163.6009
6.1 -391453.313039 -2961079.65086
6.1 -391385.524628 -2961010.76702
6.1 -391286.297645 -2960929.95925
6.1 -391233.495595 -2960859.43982
6.1 -391104.200346 -2960781.79109
6.1 -391034.945528 -2960697.71238
6.1 -390967.225726 -2960628.8135
6.1 -390867.866413 -2960548.01382
6.1 -390766.996535 -2960452.14376
6.1 -390667.736266 -2960371.21081
6.1 -390566.892964 -2960275.4485
6.1 -390467.555068 -2960194.63691
6.1 -390366.708342 -2960098.75499
6.1 -390277.727276 -2959971.23526
6.1 -390178.457776 -2959890.40845
6.1 -390046.049778 -2959782.60365
6.1 -389960.268665 -2959685.19041
6.1 -389856.237547 -2959559.3001
6.1 -389708.815134 -2959453.00057
6.1 -389593.042197 -2959358.72057
6.1 -389490.597452 -2959247.87986
6.1 -389311.684757 -2959129.63526
6.1 -389194.286888 -2959020.40822
6.1 -389046.876275 -2958914.19934
6.1 -388930.973414 -2958819.80287
6.1 -388815.144138 -2958725.50924
6.1 -388669.318978 -2958634.34361
6.1 -388553.401398 -2958540.05426
6.1 -388377.54055 -2958452.01258
6.1 -388261.742199 -2958357.69921
6.1 -388147.403454 -2958278.45576
6.1 -388003.072336 -2958202.33357
6.1 -387890.337787 -2958138.02083
6.1 -387791.034079 -2958057.14235
6.1 -387663.256435 -2957994.56365
6.1 -387535.521137 -2957931.85925
6.1 -387437.734672 -2957866.03705
6.1 -387309.921594 -2957803.45061
6.1 -387197.180869 -2957739.23345
6.1 -387099.408242 -2957673.40081
6.1 -386985.178138 -2957594.10884
6.1 -386873.899242 -2957544.95415
6.1 -386776.14011 -2957479.11157
6.1 -386648.410039 -2957416.49129
6.1 -386565.688067 -2957349.13995
6.1 -386467.890471 -2957283.29466
6.1 -386341.671587 -2957235.72916
6.1 -386243.882781 -2957169.87691
6.1 -386131.152916 -2957105.74199
6.1 -386016.800572 -2957026.32176
6.1 -385905.678342 -2956977.23262
6.1 -385807.856044 -2956911.37368
6.1 -385680.171968 -2956848.71379
6.1 -385567.312021 -2956784.57881
6.1 -385456.140558 -2956735.36658
6.1 -385328.354059 -2956672.59196
6.1 -385230.672772 -2956606.81535
6.1 -385119.359291 -2956557.61119
6.1 -385008.219337 -2956508.49653
6.1 -384895.475946 -2956444.21013
6.1 -384797.708681 -2956378.43355
6.1 -384673.04704 -2956345.86714
6.1 -384560.28067 -2956281.689
6.1 -384449.043331 -2956232.45394
6.1 -384321.213113 -2956169.76491
6.1 -384193.506487 -2956107.17089
6.1 -384050.718139 -2956045.95374
6.1 -383891.423467 -2955971.49844
6.1 -383717.153852 -2955898.40196
6.1 -383572.778241 -2955822.34247
6.1 -383444.98589 -2955759.61722
6.1 -383302.209549 -2955698.5994
6.1 -383159.527917 -2955637.44788
6.1 -383018.229985 -2955591.37083
6.1 -382891.992125 -2955543.68364
6.1 -382749.23924 -2955482.64003
6.1 -382608.008145 -2955436.53722
6.1 -382496.85371 -2955387.3452
6.1 -382324.046613 -2955329.36435
6.1 -382196.216415 -2955266.71421
6.1 -382023.541361 -2955208.81665
6.1 -381865.705867 -2955149.22389
6.1 -381707.928887 -2955089.61629
6.1 -381551.69875 -2955045.17559
6.1 -381380.458738 -2955002.20238
6.1 -381224.239706 -2954957.7447
6.1 -381068.077676 -2954913.27228
6.1 -380913.376994 -2954883.74627
6.1 -380743.64351 -2954855.91866
6.1 -380590.523 -2954841.43088
6.1 -380435.848181 -2954811.99384
6.1 -380281.17729 -2954782.54879
6.1 -380111.444895 -2954754.57153
6.1 -379971.847296 -2954723.63471
6.1 -379847.18598 -2954691.00288
6.1 -379677.414001 -2954663.0076
6.1 -379567.721291 -2954628.90386
6.1 -379428.123254 -2954597.82802
6.1 -379303.490032 -2954565.28734
6.1 -379210.369919 -2954544.64727
6.1 -379087.189307 -2954527.0526
6.1 -378977.495866 -2954492.81365
6.1 -378869.383658 -2954473.74
6.1 -378746.327257 -2954456.23175
6.1 -378638.204217 -2954437.03602
6.1 -378529.994441 -2954417.9633
6.1 -378406.943922 -2954400.44105
6.1 -378298.826458 -2954381.23304
6.1 -378159.11942 -2954350.23156
6.1 -378065.9662 -2954329.56249
6.1 -377941.313386 -2954296.97181
6.1 -377816.663807 -2954264.37595
6.1 -377706.962222 -2954230.21095
6.1 -377565.765347 -2954184.11933
6.1 -377429.192154 -2954183.19586
6.1 -377304.451974 -2954150.59192
6.1 -377164.836974 -2954119.65125
6.1 -377023.553115 -2954073.54734
6.1 -376870.438661 -2954059.10911
6.1 -376715.773328 -2954029.6067
6.1 -376546.116897 -2954001.66106
6.1 -376391.474078 -2953972.25558
6.1 -376239.819492 -2953972.85443
6.1 -376085.183009 -2953943.43304
6.1 -375947.028451 -2953927.39143
6.1 -375777.301356 -2953899.52886
6.1 -375654.198017 -2953881.90623
6.1 -375487.624164 -2953884.13393
6.1 -375364.487489 -2953866.61957
6.1 -375226.344277 -2953850.54448
6.1 -375118.205771 -2953831.46187
6.1 -374948.600381 -2953803.53899
6.1 -374825.42117 -2953786.0089
6.1 -374685.810128 -2953754.95894
6.1 -374546.113985 -2953724.02927
6.1 -374406.341036 -2953692.87218
6.1 -374265.147912 -2953646.75207
6.1 -374140.507547 -2953614.2438
6.1 -373970.789408 -2953586.39876
6.1 -373846.141634 -2953553.76453
6.1 -373706.416099 -2953522.80227
6.1 -373538.336346 -2953509.86319
6.1 -373413.712765 -2953477.32469
6.1 -373243.94782 -2953449.33112
6.1 -373077.375534 -2953451.5437
6.1 -372909.217978 -2953438.69578
6.1 -372801.118456 -2953419.52927
6.1 -372663.00043 -2953403.56929
6.1 -372554.853211 -2953384.40036
6.1 -372446.7737 -2953365.33473
6.1 -372353.621354 -2953344.61454
6.1 -372276.993258 -2953337.40627
6.1 -372198.937696 -2953315.12516
6.1 -372122.311183 -2953307.91291
6.1 -372029.281379 -2953287.28336
6.1 -371922.674749 -2953283.14944
6.1 -371814.55393 -2953264.06741
6.1 -371678.033719 -2953263.11324
6.1 -371571.392721 -2953259.08691
6.1 -371448.323125 -2953241.4108
6.1 -371311.651481 -2953240.45919
6.1 -371235.14911 -2953233.32482
6.1 -371143.605285 -2953227.73231
6.1 -371022.015356 -2953225.10329
6.1 -370942.36198 -2953187.85769
6.1 -370852.279815 -2953197.20729
6.1 -370775.766757 -2953189.94735
6.1 -370684.072173 -2953184.36008
6.1 -370605.999816 -2953162.15753
6.1 -370514.447368 -2953156.43188
6.1 -370437.848368 -2953149.28991
6.1 -370346.297254 -2953143.55908
6.1 -370271.272649 -2953151.46493
6.1 -370148.184141 -2953133.85519
6.1 -370058.118382 -2953143.29432
6.1 -369981.611053 -2953136.0139
6.1 -369858.437458 -2953118.51881
6.1 -369750.344428 -2953099.36176
6.1 -369643.720174 -2953095.2661
6.1 -369522.107034 -2953092.69575
6.1 -369384.016333 -2953076.81735
6.1 -369277.446504 -2953072.70207
6.1 -369140.898456 -2953071.63744
6.1 -369019.317624 -2953069.27392
6.1 -368884.23443 -2953083.263
6.1 -368749.268014 -2953097.34677
6.1 -368611.119795 -2953081.32504
6.1 -368457.94706 -2953066.94081
6.1 -368306.428971 -2953067.47507
6.1 -368121.733424 -2953041.17993
6.1 -367938.603953 -2953029.92647
6.1 -367787.001934 -2953030.56075
6.1 -367603.862686 -2953019.17285
6.1 -367450.65257 -2953004.74304
6.1 -367297.562081 -2952990.40625
6.1 -367144.459836 -2952975.94782
6.1 -367007.788368 -2952974.91778
6.1 -366871.234967 -2952973.98239
6.1 -366764.594175 -2952969.90327
6.1 -366626.487428 -2952953.90295
6.1 -366504.977343 -2952951.42982
6.1 -366398.390961 -2952947.33113
6.1 -366290.266105 -2952928.28853
6.1 -366183.616107 -2952924.07476
6.1 -366092.086524 -2952918.56023
6.1 -366015.555181 -2952911.18395
6.1 -365924.026913 -2952905.66422
6.1 -365862.396078 -2952896.89964
6.1 -365802.405637 -2952903.0613
6.1 -365724.250859 -2952880.86376
6.1 -365634.247007 -2952890.16164
6.1 -365572.721115 -2952881.37828
6.1 -365481.144652 -2952875.85127
6.1 -365388.005927 -2952855.15347
6.1 -365281.377721 -2952851.02101
6.1 -365188.34491 -2952830.30422
6.1 -365081.732771 -2952826.27834
6.1 -364960.133614 -2952823.7546
6.1 -364852.014275 -2952804.54596
6.1 -364716.93771 -2952818.69215
6.1 -364612.01419 -2952829.57097
6.1 -364506.949789 -2952840.5789
6.1 -364371.857835 -2952854.59554
6.1 -364266.84424 -2952865.58857
6.1 -364131.86846 -2952879.69528
6.1 -364011.763057 -2952892.19366
6.1 -363891.708778 -2952904.68081
6.1 -363725.125763 -2952906.8414
6.1 -363605.136655 -2952919.42431
6.1 -363438.554561 -2952921.56874
6.1 -363316.961105 -2952918.97742
6.1 -363150.394769 -2952921.21939
6.1 -363028.816978 -2952918.72999
6.1 -362893.736739 -2952932.79279
6.1 -362757.185881 -2952931.90142
6.1 -362620.621886 -2952930.88998
6.1 -362485.5554 -2952945.04788
6.1 -362378.889081 -2952940.81712
6.1 -362273.990757 -2952951.84041
6.1 -362153.832308 -2952964.26956
6.1 -362033.842012 -2952976.78863
6.1 -361913.851297 -2952989.30283
6.1 -361778.731176 -2953003.43472
6.1 -361658.739567 -2953015.93856
6.1 -361538.747539 -2953028.43752
6.1 -361418.703551 -2953040.93791
6.1 -361255.211792 -2953073.29899
6.1 -361136.679646 -2953100.73032
6.1 -361003.198738 -2953129.98414
6.1 -360868.22756 -2953144.05546
6.1 -360734.715711 -2953173.06959
6.1 -360601.215857 -2953202.19147
6.1 -360484.265056 -2953244.76067
6.1 -360365.750343 -2953272.38866
6.1 -360230.773193 -2953286.43084
6.1 -360110.682036 -2953298.99811
6.1 -359942.60668 -2953286.11614
6.1 -359820.981229 -2953283.50098
6.1 -359652.820667 -2953270.72893
6.1 -359532.833631 -2953283.26016
6.1 -359397.76741 -2953297.39061
6.1 -359276.15848 -2953294.86684
6.1 -359172.71534 -2953320.84342
6.1 -359067.650887 -2953331.77162
6.1 -358962.586111 -2953342.69609
6.1 -358842.596636 -2953355.19928
6.1 -358752.610227 -2953364.51501
6.1 -358662.534309 -2953373.95431
6.1 -358587.485739 -2953381.79725
6.1 -358450.953593 -2953380.82061
6.1 -358329.34674 -2953378.25787
6.1 -358207.754483 -2953375.80393
6.1 -358083.125459 -2953343.11571
6.1 -358008.091706 -2953351.05771
6.1 -357886.488565 -2953348.4768
6.1 -357779.97889 -2953344.40892
6.1 -357673.366861 -2953340.3497
6.1 -357583.395303 -2953349.74361
6.1 -357461.808411 -2953347.25904
6.1 -357340.208538 -2953344.65567
6.1 -357218.623227 -2953342.16111
6.1 -357083.504539 -2953356.19198
6.1 -356932.020207 -2953356.83879
6.1 -356780.382086 -2953357.49653
6.1 -356630.338735 -2953373.07864
6.1 -356463.777263 -2953375.29135
6.1 -356343.750365 -2953387.81306
6.1 -356178.678329 -2953404.95443
6.1 -356058.650415 -2953417.46455
6.1 -355893.539155 -2953434.71
6.1 -355788.589468 -2953445.62294
6.1 -355683.536359 -2953456.54458
6.1 -355550.043195 -2953485.77933
6.1 -355445.040348 -2953496.68628
6.1 -355278.427514 -2953498.83836
6.1 -355125.243432 -2953484.35831
6.1 -354943.670543 -2953488.17516
6.1 -354775.514398 -2953475.24593
6.1 -354607.388121 -2953462.53478
6.1 -354439.288591 -2953449.5803
6.1 -354226.174161 -2953441.43868
6.1 -354074.561205 -2953442.07147
6.1 -353906.379151 -2953429.21294
6.1 -353724.816813 -2953432.95499
6.1 -353574.785829 -2953448.49571
6.1 -353409.688636 -2953465.71613
6.1 -353259.61831 -2953481.36081
6.1 -353108.022555 -2953482.05785
6.1 -352958.003181 -2953497.68104
6.1 -352821.422481 -2953496.68451
6.1 -352653.26468 -2953483.86856
6.1 -352500.174936 -2953469.36046
6.1 -352348.584146 -2953470.01859
6.1 -352197.032169 -2953470.54898
6.1 -352061.952157 -2953484.6916
6.1 -351953.861778 -2953465.59965
6.1 -351785.701523 -2953452.62066
6.1 -351664.132506 -2953450.24542
6.1 -351525.979336 -2953434.14082
6.1 -351402.882665 -2953416.70037
6.1 -351279.709361 -2953399.03331
6.1 -351141.589652 -2953383.13849
6.1 -351003.458593 -2953367.12343
6.1 -350866.908442 -2953366.15059
6.1 -350728.781074 -2953350.12275
6.1 -350604.11871 -2953317.60055
6.1 -350434.366578 -2953289.61626
6.1 -350279.710032 -2953260.17865
6.1 -350095.004994 -2953233.83409
6.1 -349937.259734 -2953174.27486
